Pavarde	Vardas	ND1	ND2	ND3	ND4	ND5	Egzaminas
Pavarde558	Vardas558	3	1	8	2	0	8
Pavarde559	Vardas559	2	4	8	10	7	9
Pavarde560	Vardas560	7	2	6	1	4	1
Pavarde561	Vardas561	5	9	0	2	10	4
Pavarde562	Vardas562	1	7	3	7	6	8
Pavarde563	Vardas563	6	4	7	3	2	2
Pavarde564	Vardas564	7	2	1	1	6	10
Pavarde565	Vardas565	8	4	2	5	6	2
Pavarde566	Vardas566	8	6	2	4	9	2
Pavarde567	Vardas567	7	0	10	1	5	10
Pavarde568	Vardas568	0	4	0	9	5	6
Pavarde569	Vardas569	2	10	8	0	4	5
Pavarde570	Vardas570	3	1	6	6	7	2
Pavarde571	Vardas571	10	1	8	4	2	2
Pavarde572	Vardas572	9	5	5	5	7	2
Pavarde573	Vardas573	1	5	7	7	10	8
Pavarde574	Vardas574	4	9	5	4	10	8
Pavarde575	Vardas575	0	4	7	6	5	3
Pavarde576	Vardas576	4	3	9	2	10	10
Pavarde577	Vardas577	5	10	0	10	5	8
Pavarde578	Vardas578	1	9	10	6	9	1
Pavarde579	Vardas579	0	3	6	2	4	7
Pavarde580	Vardas580	6	9	7	8	0	3
Pavarde581	Vardas581	9	6	7	2	2	4
Pavarde582	Vardas582	1	1	4	10	5	1
Pavarde583	Vardas583	5	3	0	3	1	8
Pavarde584	Vardas584	10	4	3	0	8	2
Pavarde585	Vardas585	5	10	2	2	2	5
Pavarde586	Vardas586	10	7	3	0	0	3
Pavarde587	Vardas587	10	0	0	10	9	0
Pavarde588	Vardas588	4	6	9	0	3	10
Pavarde589	Vardas589	10	5	4	4	3	2
Pavarde590	Vardas590	4	3	6	2	7	5
Pavarde591	Vardas591	2	6	0	1	3	0
Pavarde592	Vardas592	9	6	6	0	7	5
Pavarde593	Vardas593	8	5	9	3	3	2
Pavarde594	Vardas594	8	6	3	0	10	3
Pavarde595	Vardas595	9	3	5	6	10	4
Pavarde596	Vardas596	5	3	0	7	1	6
Pavarde597	Vardas597	0	0	1	0	5	8
Pavarde598	Vardas598	0	3	6	10	2	0
Pavarde599	Vardas599	1	8	5	10	3	8
Pavarde600	Vardas600	3	6	0	4	4	8
Pavarde601	Vardas601	3	5	8	9	9	7
Pavarde602	Vardas602	10	10	2	2	4	9
Pavarde603	Vardas603	0	10	3	1	2	8
Pavarde604	Vardas604	8	5	3	8	7	1
Pavarde605	Vardas605	5	1	2	6	5	10
Pavarde606	Vardas606	6	4	4	5	2	8
Pavarde607	Vardas607	8	3	7	3	3	10
Pavarde608	Vardas608	6	4	6	9	5	8
Pavarde609	Vardas609	6	4	3	9	10	2
Pavarde610	Vardas610	6	4	7	2	7	4
Pavarde611	Vardas611	9	2	6	9	8	1
Pavarde612	Vardas612	1	10	8	4	10	2
Pavarde613	Vardas613	7	6	5	6	9	2
Pavarde614	Vardas614	1	3	3	2	1	10
Pavarde615	Vardas615	10	2	3	4	9	3
Pavarde616	Vardas616	6	10	4	4	8	9
Pavarde617	Vardas617	8	5	5	6	4	5
Pavarde618	Vardas618	1	3	0	2	5	10
Pavarde619	Vardas619	10	3	5	0	0	6
Pavarde620	Vardas620	1	6	10	5	6	9
Pavarde621	Vardas621	9	9	0	3	7	5
Pavarde622	Vardas622	2	3	5	3	6	8
Pavarde623	Vardas623	6	5	3	4	8	1
Pavarde624	Vardas624	2	9	4	7	1	6
Pavarde625	Vardas625	10	9	10	2	4	1
Pavarde626	Vardas626	8	7	1	8	2	1
Pavarde627	Vardas627	6	0	2	3	3	3
Pavarde628	Vardas628	7	1	6	8	1	7
Pavarde629	Vardas629	2	4	4	5	7	6
Pavarde630	Vardas630	5	5	6	3	5	9
Pavarde631	Vardas631	8	10	5	2	3	3
Pavarde632	Vardas632	4	2	0	8	1	4
Pavarde633	Vardas633	9	5	2	4	7	3
Pavarde634	Vardas634	5	3	3	3	1	6
Pavarde635	Vardas635	4	6	4	1	7	1
Pavarde636	Vardas636	8	6	3	8	3	6
Pavarde637	Vardas637	5	7	10	10	10	0
Pavarde638	Vardas638	6	10	10	5	9	6
Pavarde639	Vardas639	0	3	3	8	3	10
Pavarde640	Vardas640	8	6	7	8	5	3
Pavarde641	Vardas641	6	6	9	7	9	4
Pavarde642	Vardas642	2	6	10	9	3	0
Pavarde643	Vardas643	0	8	9	10	2	9
Pavarde644	Vardas644	10	7	8	7	10	9
Pavarde645	Vardas645	7	3	9	8	5	6
Pavarde646	Vardas646	9	6	6	10	9	5
Pavarde647	Vardas647	6	8	0	1	7	0
Pavarde648	Vardas648	1	4	7	1	0	3
Pavarde649	Vardas649	2	4	4	4	5	6
Pavarde650	Vardas650	2	6	5	6	0	1
Pavarde651	Vardas651	9	2	1	6	8	2
Pavarde652	Vardas652	10	0	0	5	8	0
Pavarde653	Vardas653	4	1	10	10	2	9
Pavarde654	Vardas654	4	2	10	9	9	10
Pavarde655	Vardas655	0	8	8	10	9	6
Pavarde656	Vardas656	0	2	5	10	7	1
Pavarde657	Vardas657	2	9	7	1	10	4
Pavarde658	Vardas658	4	10	8	1	6	0
Pavarde659	Vardas659	10	2	0	3	8	8
Pavarde660	Vardas660	4	4	8	6	6	5
Pavarde661	Vardas661	3	5	5	6	10	9
Pavarde662	Vardas662	3	4	5	6	3	1
Pavarde663	Vardas663	9	0	1	10	3	1
Pavarde664	Vardas664	8	1	7	10	10	1
Pavarde665	Vardas665	5	8	10	8	2	5
Pavarde666	Vardas666	4	9	10	1	6	1
Pavarde667	Vardas667	8	4	8	5	6	7
Pavarde668	Vardas668	5	1	7	2	2	0
Pavarde669	Vardas669	6	0	7	0	4	1
Pavarde670	Vardas670	0	6	1	3	4	3
Pavarde671	Vardas671	4	9	6	7	9	5
Pavarde672	Vardas672	9	9	2	5	8	0
Pavarde673	Vardas673	5	1	8	2	9	4
Pavarde674	Vardas674	2	10	5	6	10	4
Pavarde675	Vardas675	10	4	6	7	0	0
Pavarde676	Vardas676	2	5	6	2	1	1
Pavarde677	Vardas677	9	4	9	1	4	3
Pavarde678	Vardas678	2	9	0	10	8	8
Pavarde679	Vardas679	1	5	3	1	4	9
Pavarde680	Vardas680	10	8	6	9	7	0
Pavarde681	Vardas681	2	4	4	1	4	7
Pavarde682	Vardas682	5	5	8	9	4	3
Pavarde683	Vardas683	2	9	3	7	0	2
Pavarde684	Vardas684	6	1	6	8	0	6
Pavarde685	Vardas685	8	7	10	1	9	0
Pavarde686	Vardas686	5	10	5	8	5	9
Pavarde687	Vardas687	8	7	5	2	9	5
Pavarde688	Vardas688	9	4	7	3	0	8
Pavarde689	Vardas689	7	7	9	5	7	9
Pavarde690	Vardas690	1	2	7	9	0	5
Pavarde691	Vardas691	1	0	9	4	3	7
Pavarde692	Vardas692	9	2	2	3	2	10
Pavarde693	Vardas693	10	3	6	0	2	5
Pavarde694	Vardas694	6	5	7	4	8	4
Pavarde695	Vardas695	9	1	5	7	4	0
Pavarde696	Vardas696	9	1	2	3	9	1
Pavarde697	Vardas697	6	5	0	2	1	1
Pavarde698	Vardas698	7	7	10	10	0	8
Pavarde699	Vardas699	5	6	2	3	0	3
Pavarde700	Vardas700	2	4	6	4	6	10
Pavarde701	Vardas701	8	2	6	6	3	8
Pavarde702	Vardas702	4	5	4	7	8	6
Pavarde703	Vardas703	8	10	8	5	1	3
Pavarde704	Vardas704	7	5	8	4	5	4
Pavarde705	Vardas705	0	1	6	9	0	9
Pavarde706	Vardas706	7	5	6	9	1	8
Pavarde707	Vardas707	0	10	9	10	1	4
Pavarde708	Vardas708	6	1	3	4	0	8
Pavarde709	Vardas709	3	9	3	2	4	0
Pavarde710	Vardas710	8	4	2	8	0	3
Pavarde711	Vardas711	2	0	5	5	4	9
Pavarde712	Vardas712	0	3	10	8	4	0
Pavarde713	Vardas713	9	1	6	10	7	2
Pavarde714	Vardas714	6	0	4	4	4	6
Pavarde715	Vardas715	2	1	8	9	6	10
Pavarde716	Vardas716	0	8	0	1	4	9
Pavarde717	Vardas717	7	8	0	7	7	5
Pavarde718	Vardas718	5	7	4	0	5	0
Pavarde719	Vardas719	6	8	9	2	8	6
Pavarde720	Vardas720	0	7	2	8	10	1
Pavarde721	Vardas721	5	4	10	2	1	8
Pavarde722	Vardas722	3	4	7	1	0	1
Pavarde723	Vardas723	5	10	5	0	5	4
Pavarde724	Vardas724	4	1	8	10	3	2
Pavarde725	Vardas725	2	10	10	7	0	6
Pavarde726	Vardas726	3	9	7	0	3	0
Pavarde727	Vardas727	0	10	9	2	6	8
Pavarde728	Vardas728	10	3	4	6	1	2
Pavarde729	Vardas729	9	5	3	7	8	1
Pavarde730	Vardas730	7	3	7	2	2	1
Pavarde731	Vardas731	4	6	5	0	1	4
Pavarde732	Vardas732	10	9	3	3	0	6
Pavarde733	Vardas733	3	0	10	1	6	2
Pavarde734	Vardas734	10	10	7	4	6	7
Pavarde735	Vardas735	8	10	4	9	8	9
Pavarde736	Vardas736	0	7	6	2	7	7
Pavarde737	Vardas737	2	2	5	1	2	8
Pavarde738	Vardas738	7	3	9	6	0	5
Pavarde739	Vardas739	7	9	9	8	7	3
Pavarde740	Vardas740	3	1	10	8	7	7
Pavarde741	Vardas741	10	2	4	4	9	7
Pavarde742	Vardas742	7	3	6	1	8	2
Pavarde743	Vardas743	6	8	0	0	6	10
Pavarde744	Vardas744	6	8	5	3	3	9
Pavarde745	Vardas745	5	4	1	7	3	1
Pavarde746	Vardas746	9	6	5	0	8	2
Pavarde747	Vardas747	4	1	9	4	3	7
Pavarde748	Vardas748	9	0	5	4	1	7
Pavarde749	Vardas749	3	5	9	6	5	9
Pavarde750	Vardas750	8	2	5	6	5	3
Pavarde751	Vardas751	10	4	3	6	8	9
Pavarde752	Vardas752	3	7	0	8	2	7
Pavarde753	Vardas753	8	4	6	1	9	10
Pavarde754	Vardas754	4	6	2	7	2	3
Pavarde755	Vardas755	0	2	8	3	1	1
Pavarde756	Vardas756	8	4	2	0	7	1
Pavarde757	Vardas757	6	7	8	1	7	9
Pavarde758	Vardas758	3	3	8	0	1	9
Pavarde759	Vardas759	1	4	10	0	6	10
Pavarde760	Vardas760	4	2	4	3	10	7
Pavarde761	Vardas761	5	10	9	6	9	3
Pavarde762	Vardas762	6	9	0	2	6	6
Pavarde763	Vardas763	9	1	5	3	2	10
Pavarde764	Vardas764	10	5	9	0	5	8
Pavarde765	Vardas765	2	8	9	2	7	9
Pavarde766	Vardas766	1	3	6	0	3	1
Pavarde767	Vardas767	2	8	10	2	6	9
Pavarde768	Vardas768	4	9	0	2	3	2
Pavarde769	Vardas769	8	6	0	8	2	6
Pavarde770	Vardas770	4	7	4	3	3	10
Pavarde771	Vardas771	5	9	8	0	3	5
Pavarde772	Vardas772	2	4	6	4	3	5
Pavarde773	Vardas773	0	8	10	3	8	6
Pavarde774	Vardas774	2	9	0	4	10	0
Pavarde775	Vardas775	6	5	4	9	6	9
Pavarde776	Vardas776	6	7	9	9	2	4
Pavarde777	Vardas777	3	0	4	3	0	9
Pavarde778	Vardas778	10	7	6	3	2	3
Pavarde779	Vardas779	8	8	2	9	1	10
Pavarde780	Vardas780	1	9	9	5	0	7
Pavarde781	Vardas781	4	10	6	4	3	9
Pavarde782	Vardas782	1	7	10	7	8	2
Pavarde783	Vardas783	3	10	5	4	7	8
Pavarde784	Vardas784	0	7	5	3	8	4
Pavarde785	Vardas785	6	6	2	10	8	8
Pavarde786	Vardas786	5	4	2	7	3	1
Pavarde787	Vardas787	3	4	10	6	0	4
Pavarde788	Vardas788	8	8	3	3	5	1
Pavarde789	Vardas789	1	3	4	0	5	6
Pavarde790	Vardas790	1	8	2	5	9	1
Pavarde791	Vardas791	0	10	3	0	5	2
Pavarde792	Vardas792	8	0	10	2	5	3
Pavarde793	Vardas793	3	8	4	8	7	8
Pavarde794	Vardas794	8	8	1	3	7	7
Pavarde795	Vardas795	7	0	9	7	0	2
Pavarde796	Vardas796	10	9	4	4	7	6
Pavarde797	Vardas797	10	9	3	6	5	10
Pavarde798	Vardas798	4	6	2	9	1	2
Pavarde799	Vardas799	9	9	9	4	3	8
Pavarde800	Vardas800	8	9	4	0	4	7
Pavarde801	Vardas801	7	9	1	0	0	5
Pavarde802	Vardas802	7	10	0	8	0	6
Pavarde803	Vardas803	9	4	7	0	3	2
Pavarde804	Vardas804	3	4	1	1	1	2
Pavarde805	Vardas805	4	9	3	2	2	0
Pavarde806	Vardas806	7	9	9	8	7	8
Pavarde807	Vardas807	2	6	7	8	0	0
Pavarde808	Vardas808	5	8	8	8	1	3
Pavarde809	Vardas809	7	8	4	5	5	2
Pavarde810	Vardas810	0	10	7	8	5	3
Pavarde811	Vardas811	0	2	3	3	9	1
Pavarde812	Vardas812	4	4	0	10	6	7
Pavarde813	Vardas813	0	7	9	4	0	1
Pavarde814	Vardas814	1	10	6	0	1	6
Pavarde815	Vardas815	1	9	2	2	8	5
Pavarde816	Vardas816	10	3	3	10	2	5
Pavarde817	Vardas817	1	2	6	4	2	10
Pavarde818	Vardas818	1	3	2	8	9	6
Pavarde819	Vardas819	0	5	6	1	9	0
Pavarde820	Vardas820	1	2	9	3	4	10
Pavarde821	Vardas821	4	2	1	2	8	5
Pavarde822	Vardas822	2	1	4	2	5	7
Pavarde823	Vardas823	8	8	6	9	0	6
Pavarde824	Vardas824	3	3	2	8	8	1
Pavarde825	Vardas825	5	1	3	9	1	3
Pavarde826	Vardas826	1	2	10	8	9	8
Pavarde827	Vardas827	1	1	6	9	1	1
Pavarde828	Vardas828	3	9	0	7	7	6
Pavarde829	Vardas829	5	9	7	8	6	1
Pavarde830	Vardas830	0	4	8	10	3	4
Pavarde831	Vardas831	7	10	6	6	0	3
Pavarde832	Vardas832	9	3	1	9	2	0
Pavarde833	Vardas833	8	1	7	6	8	10
Pavarde834	Vardas834	0	0	9	7	9	6
Pavarde835	Vardas835	3	2	0	5	4	2
Pavarde836	Vardas836	3	8	8	2	5	7
Pavarde837	Vardas837	4	7	1	8	1	2
Pavarde838	Vardas838	6	7	0	3	10	9
Pavarde839	Vardas839	9	6	4	10	7	10
Pavarde840	Vardas840	10	3	1	3	9	4
Pavarde841	Vardas841	6	5	3	5	6	9
Pavarde842	Vardas842	0	1	5	9	5	2
Pavarde843	Vardas843	4	0	9	4	5	7
Pavarde844	Vardas844	9	6	8	9	5	1
Pavarde845	Vardas845	10	5	8	0	9	10
Pavarde846	Vardas846	7	2	7	1	6	9
Pavarde847	Vardas847	2	8	3	0	9	7
Pavarde848	Vardas848	1	10	10	6	6	10
Pavarde849	Vardas849	4	3	1	4	1	7
Pavarde850	Vardas850	6	7	0	4	5	9
Pavarde851	Vardas851	10	3	8	3	3	7
Pavarde852	Vardas852	3	5	6	0	7	9
Pavarde853	Vardas853	5	1	1	4	0	8
Pavarde854	Vardas854	1	3	10	1	5	7
Pavarde855	Vardas855	1	4	3	2	4	4
Pavarde856	Vardas856	5	10	10	8	2	1
Pavarde857	Vardas857	8	8	10	5	3	10
Pavarde858	Vardas858	2	9	8	10	9	6
Pavarde859	Vardas859	3	10	2	5	2	1
Pavarde860	Vardas860	9	2	1	9	2	2
Pavarde861	Vardas861	1	2	8	3	10	5
Pavarde862	Vardas862	7	6	4	6	9	0
Pavarde863	Vardas863	1	8	7	8	1	9
Pavarde864	Vardas864	6	0	4	7	5	10
Pavarde865	Vardas865	10	1	3	0	8	1
Pavarde866	Vardas866	1	5	5	8	0	3
Pavarde867	Vardas867	1	10	6	5	10	9
Pavarde868	Vardas868	5	2	2	0	3	5
Pavarde869	Vardas869	8	8	7	2	9	4
Pavarde870	Vardas870	10	3	10	1	10	4
Pavarde871	Vardas871	4	0	8	9	3	9
Pavarde872	Vardas872	5	3	3	1	5	3
Pavarde873	Vardas873	6	6	6	10	1	6
Pavarde874	Vardas874	1	3	10	4	9	4
Pavarde875	Vardas875	1	7	0	4	6	9
Pavarde876	Vardas876	9	7	1	8	2	10
Pavarde877	Vardas877	4	0	10	4	4	3
Pavarde878	Vardas878	1	3	8	3	10	8
Pavarde879	Vardas879	8	8	3	5	3	3
Pavarde880	Vardas880	5	2	2	8	3	1
Pavarde881	Vardas881	6	2	5	7	0	10
Pavarde882	Vardas882	3	0	2	0	0	0
Pavarde883	Vardas883	10	8	2	10	3	4
Pavarde884	Vardas884	4	9	1	6	1	7
Pavarde885	Vardas885	10	4	7	4	3	3
Pavarde886	Vardas886	5	10	10	0	0	10
Pavarde887	Vardas887	10	9	3	7	3	6
Pavarde888	Vardas888	5	9	3	5	7	5
Pavarde889	Vardas889	5	10	8	2	1	4
Pavarde890	Vardas890	1	5	2	2	10	2
Pavarde891	Vardas891	2	3	9	1	8	0
Pavarde892	Vardas892	0	0	6	10	1	10
Pavarde893	Vardas893	10	2	0	9	0	6
Pavarde894	Vardas894	6	8	6	4	1	7
Pavarde895	Vardas895	2	2	6	0	8	3
Pavarde896	Vardas896	3	6	8	5	5	6
Pavarde897	Vardas897	10	9	10	7	6	3
Pavarde898	Vardas898	5	10	4	8	0	1
Pavarde899	Vardas899	0	1	8	0	6	8
Pavarde900	Vardas900	5	6	10	0	3	6
Pavarde901	Vardas901	9	3	8	3	4	9
Pavarde902	Vardas902	1	0	3	4	8	0
Pavarde903	Vardas903	2	6	4	0	3	4
Pavarde904	Vardas904	0	1	4	1	8	0
Pavarde905	Vardas905	7	3	1	0	8	8
Pavarde906	Vardas906	9	6	6	8	4	9
Pavarde907	Vardas907	4	8	10	8	4	2
Pavarde908	Vardas908	8	4	9	7	6	7
Pavarde909	Vardas909	9	0	7	0	10	7
Pavarde910	Vardas910	3	3	3	2	5	10
Pavarde911	Vardas911	6	5	1	7	9	1
Pavarde912	Vardas912	4	3	5	5	6	10
Pavarde913	Vardas913	10	9	1	0	7	1
Pavarde914	Vardas914	4	7	5	10	9	1
Pavarde915	Vardas915	4	6	2	10	5	7
Pavarde916	Vardas916	7	8	7	3	8	7
Pavarde917	Vardas917	9	10	0	7	3	2
Pavarde918	Vardas918	6	3	9	0	7	9
Pavarde919	Vardas919	3	7	8	1	10	6
Pavarde920	Vardas920	10	10	1	10	7	10
Pavarde921	Vardas921	3	6	3	0	8	0
Pavarde922	Vardas922	1	9	8	7	10	5
Pavarde923	Vardas923	10	10	9	5	6	3
Pavarde924	Vardas924	5	5	8	0	2	1
Pavarde925	Vardas925	2	7	5	10	7	5
Pavarde926	Vardas926	3	9	4	1	0	6
Pavarde927	Vardas927	6	4	8	4	7	9
Pavarde928	Vardas928	1	0	2	1	0	6
Pavarde929	Vardas929	8	2	7	5	6	9
Pavarde930	Vardas930	10	2	9	2	0	5
Pavarde931	Vardas931	3	4	7	3	6	2
Pavarde932	Vardas932	5	1	7	7	3	9
Pavarde933	Vardas933	3	7	6	3	8	6
Pavarde934	Vardas934	4	9	7	2	3	8
Pavarde935	Vardas935	3	7	4	9	7	10
Pavarde936	Vardas936	0	4	8	1	7	0
Pavarde937	Vardas937	2	1	4	3	3	3
Pavarde938	Vardas938	6	1	6	6	8	2
Pavarde939	Vardas939	0	7	5	6	6	9
Pavarde940	Vardas940	10	0	1	2	10	1
Pavarde941	Vardas941	7	0	4	3	1	8
Pavarde942	Vardas942	9	1	10	5	6	1
Pavarde943	Vardas943	10	2	3	0	10	10
Pavarde944	Vardas944	4	1	4	0	9	7
Pavarde945	Vardas945	3	6	9	1	4	7
Pavarde946	Vardas946	6	0	6	9	7	3
Pavarde947	Vardas947	3	9	3	10	5	4
Pavarde948	Vardas948	2	5	6	3	6	9
Pavarde949	Vardas949	6	0	5	2	10	2
Pavarde950	Vardas950	3	8	10	8	5	0
Pavarde951	Vardas951	10	0	9	10	10	6
Pavarde952	Vardas952	0	9	6	5	0	8
Pavarde953	Vardas953	4	9	0	2	10	2
Pavarde954	Vardas954	2	0	2	1	10	6
Pavarde955	Vardas955	7	7	5	1	0	9
Pavarde956	Vardas956	6	0	5	3	6	3
Pavarde957	Vardas957	10	6	3	5	6	0
Pavarde958	Vardas958	1	4	1	5	3	3
Pavarde959	Vardas959	1	6	7	1	6	4
Pavarde960	Vardas960	7	7	5	9	6	10
Pavarde961	Vardas961	3	0	8	4	0	2
Pavarde962	Vardas962	7	10	4	0	7	6
Pavarde963	Vardas963	5	3	6	10	8	2
Pavarde964	Vardas964	3	0	5	3	8	0
Pavarde965	Vardas965	8	1	10	9	0	1
Pavarde966	Vardas966	2	10	8	9	8	9
Pavarde967	Vardas967	10	0	3	7	8	1
Pavarde968	Vardas968	1	7	4	1	0	3
Pavarde969	Vardas969	4	10	3	10	6	7
Pavarde970	Vardas970	1	8	3	5	9	3
Pavarde971	Vardas971	10	10	8	7	1	5
Pavarde972	Vardas972	5	4	6	3	2	9
Pavarde973	Vardas973	6	0	3	4	3	9
Pavarde974	Vardas974	5	10	10	4	8	9
Pavarde975	Vardas975	7	7	9	8	1	6
Pavarde976	Vardas976	10	6	5	8	1	2
Pavarde977	Vardas977	1	2	9	10	2	2
Pavarde978	Vardas978	10	9	1	10	1	7
Pavarde979	Vardas979	1	2	8	6	2	3
Pavarde980	Vardas980	3	8	9	7	8	4
Pavarde981	Vardas981	5	5	3	6	10	7
Pavarde982	Vardas982	10	7	9	3	1	0
Pavarde983	Vardas983	8	2	6	1	4	8
Pavarde984	Vardas984	3	7	3	9	1	7
Pavarde985	Vardas985	7	4	3	6	1	3
Pavarde986	Vardas986	1	6	10	4	8	1
Pavarde987	Vardas987	3	0	2	7	0	10
Pavarde988	Vardas988	2	9	4	4	8	9
Pavarde989	Vardas989	7	8	5	5	5	1
Pavarde990	Vardas990	6	5	0	3	6	10
Pavarde991	Vardas991	4	0	10	10	2	3
Pavarde992	Vardas992	9	5	6	3	7	6
Pavarde993	Vardas993	4	2	5	5	7	4
Pavarde994	Vardas994	7	8	5	9	1	10
Pavarde995	Vardas995	10	6	5	2	2	8
Pavarde996	Vardas996	0	3	4	5	8	10
Pavarde997	Vardas997	7	2	0	1	6	6
Pavarde998	Vardas998	6	3	0	3	3	7
Pavarde999	Vardas999	1	10	2	2	7	1
Pavarde1000	Vardas1000	10	7	8	7	9	4
